Aircraft_ICAO24,Callsign,Origin_Country,Time_Position,Longitude,Latitude,Barometric_Altitude,Velocity,Heading,Vertical_Rate,Geometric_Altitude,Squawk_Code
4952c5,N65453,Portugal,1723569950,-9.14,38.77,6225.54,0.51,250.31,-0.18,6547.51,3574.61
a89eb9,N65453,United States,1723570180,-92.71,45.43,1280.16,56.13,357.37,0.0,1371.6,3574.61
4952c6,TAP1272,Portugal,1723570180,16.56,48.17,518.16,79.01,164.52,-2.6,563.88,1000.0
ac83aa,N905VR,United States,1723570180,-111.83,33.76,2621.28,155.85,61.4,10.4,2766.06,3574.61
e48d15,PROHB,Brazil,1723570180,-40.27,-20.45,304.8,51.59,163.19,2.28,403.86,3574.61
4952c8,TAP1558,Portugal,1723570180,-9.23,38.49,1592.58,109.11,358.38,-4.55,1744.98,6215.0
a0f580,N161BB,United States,1723570180,-104.28,32.71,9616.44,133.72,99.97,5.53,10248.9,3574.61
4b180c,SWR3XP,Switzerland,1723570180,18.91,39.35,10668.0,242.13,129.91,0.0,11277.6,460.0
407a05,EZY38VT,United Kingdom,1723570180,-5.06,45.58,11285.22,223.94,200.02,0.33,11696.7,4432.0
ac2320,N881SD,United States,1723570180,-117.05,32.7,350.52,29.07,283.3,0.0,335.28,3574.61
a1abbe,N2068A,United States,1723570180,-121.44,37.85,60.96,33.2,310.6,0.33,30.48,3574.61
ac2f5a,SWA1104,United States,1723570180,-119.67,38.67,8084.82,204.07,304.73,-5.2,8481.06,3574.61
ae26a1,C6575,United States,1723570180,-73.61,40.49,121.92,71.52,35.63,0.0,121.92,3574.61
ad694c,SWA113,United States,1723570180,-117.23,33.84,3116.58,150.6,262.15,-2.6,3291.84,3574.61
ab63d7,DAL1122,United States,1723570180,-76.78,42.09,9753.6,232.73,286.83,-0.33,10073.64,1730.0
407a06,EZY93HR,United Kingdom,1723570180,-3.75,47.69,11894.82,223.86,202.85,0.0,12329.16,2105.0
801633,AKJ1551,India,1723570130,76.94,14.26,7307.58,158.33,117.9,-0.33,7711.44,3574.61
a7b09b,N595GL,United States,1723570180,-83.61,42.26,708.66,60.82,324.29,-1.3,739.14,1200.0
a2355d,SKW3750,United States,1723570180,-118.15,45.15,10363.2,217.53,315.19,0.33,10660.38,3574.61
39de42,TVF376A,France,1723570170,-7.21,34.03,6309.36,200.63,23.74,11.05,6758.94,3574.61
407a01,LOG17ZA,United Kingdom,1723570180,-3.82,55.25,5196.84,133.73,171.37,0.0,5288.28,1470.0
a5de4a,N4776E,United States,1723570180,-82.81,27.93,274.32,45.48,313.63,-0.33,297.18,3574.61
39de41,TVF28UA,France,1723570180,11.1,60.16,784.86,73.57,196.66,7.15,845.82,3574.61
39de43,TVF21UC,France,1723569940,2.36,48.73,6225.54,0.0,331.88,-0.18,6547.51,1146.0
80166c,VTI023,India,1723570180,8.92,50.0,11574.78,245.5,271.68,-0.33,12138.66,3247.0
ac2f83,SWA2681,United States,1723570180,-117.48,47.66,914.4,81.5,226.02,-4.55,922.02,3574.61
ab0351,VTE3017,United States,1723570180,-87.76,36.93,6400.8,237.11,101.9,0.0,6781.8,3574.61
3c6667,DLH883,Germany,1723570180,12.47,52.38,10363.2,230.27,224.55,0.0,10835.64,1731.0
44028c,EJU17JZ,Austria,1723570180,13.5,52.36,6225.54,11.32,250.31,-0.18,6547.51,3574.61
ac498c,FDX5391,United States,1723570110,134.89,34.2,1859.28,138.85,39.59,-2.28,1988.82,3574.61
e8023a,LAN406,Chile,1723570180,-46.93,-22.95,4152.9,170.4,47.45,-6.18,4396.74,3574.61
aad012,UAL121,United States,1723570180,-70.77,46.08,10972.8,254.77,216.13,0.0,11193.78,3574.61
ad5658,N959CR,United States,1723570180,-75.64,39.65,7018.02,223.87,42.86,-4.55,7261.86,4026.0
8a02d4,GIA664,Indonesia,1723570180,111.11,-6.29,10058.4,229.61,82.02,0.0,10744.2,3574.61
a90383,DAL1159,United States,1723570180,-84.44,33.64,6225.54,0.0,270.0,-0.18,6547.51,3574.61
e4943e,GLO8240,Brazil,1723570180,-59.92,-34.14,9441.18,236.69,101.41,-9.75,9814.56,2246.0
4acb03,NSZ3750,Sweden,1723570180,10.21,46.09,6271.26,198.75,222.9,-15.93,6637.02,1135.0
aaef89,AAL2432,United States,1723570180,-71.12,23.13,11285.22,245.29,127.16,0.0,11986.26,3574.61
acdfdf,N929CV,United States,1723570180,-120.7,39.31,7315.2,116.73,229.29,0.0,7627.62,3574.61
3c664f,DLH965,Germany,1723570180,-3.57,55.81,3177.54,143.97,146.37,9.75,3200.4,570.0
3c664e,DLH805,Germany,1723570180,17.58,59.43,2773.68,166.47,216.83,13.98,2887.98,3574.61
ae13a3,SCARY26,United States,1723570180,-98.22,29.35,2499.36,88.99,161.46,13.0,2667.0,3574.61
e80251,LPE2385,Chile,1723570160,-53.98,38.68,6225.54,8.23,216.56,-0.18,6547.51,3574.61
a8937f,N6515G,United States,1723570010,-122.57,47.29,152.4,32.39,190.06,-1.63,152.4,3574.61
a8e382,N672DS,United States,1723570180,-77.12,39.81,1097.28,47.33,180.62,11.7,1158.24,3574.61
51116f,MBU6413,Estonia,1723570180,-5.93,36.28,10972.8,228.81,45.27,0.0,11590.02,3574.61
a4757f,N387CB,United States,1723570180,-90.71,42.4,6225.54,6.43,45.0,-0.18,6547.51,3574.61
4bc8c2,PGT1924,Turkey,1723570180,30.83,38.56,10668.0,250.1,137.25,0.0,11399.52,3574.61
801681,AXB1603,India,1723570180,89.49,24.96,7315.2,205.49,237.26,0.0,7764.78,471.0
c0229c,CFNCT,Canada,1723570180,-77.09,44.19,1013.46,46.43,111.45,0.0,1066.8,3574.61
4bc8c3,PGT904,Turkey,1723570180,28.62,40.68,2834.64,136.05,112.69,-5.53,3040.38,7111.0
abb3b6,AAL2335,United States,1723570180,-82.06,37.54,11277.6,274.71,80.08,0.0,11833.86,7067.0
3c6662,DLH4CH,Germany,1723570180,13.06,49.54,8138.16,205.83,197.3,-10.08,8564.88,1000.0
801680,AXB1799,India,1723570180,84.94,21.07,6027.42,174.61,134.76,-7.48,6362.7,577.0
4952a7,TAP215,Portugal,1723570180,-11.72,39.05,9212.58,219.15,270.0,3.25,9822.18,4413.0
80167d,AXB2784,India,1723570180,76.71,27.69,5935.98,202.06,207.94,7.15,6271.26,3574.61
e8024f,LPE2018,Chile,1723570120,-77.11,-12.02,6225.54,26.75,143.44,-0.18,6547.51,3574.61
80167c,AXB891,India,1723570180,77.77,13.33,10363.2,233.62,8.61,0.0,11026.14,3574.61
a2229c,N237BB,United States,1723570180,-107.8,34.23,12496.8,244.98,79.35,-0.33,13235.94,3574.61
a88059,PXT647,United States,1723570180,-118.46,34.01,11338.56,164.96,348.3,5.53,11971.02,3574.61
511171,MBU6003,Estonia,1723570160,-53.98,38.68,10980.42,252.67,351.69,-0.33,11742.42,3367.0
3c666e,DLH5HV,Germany,1723570180,-6.25,53.43,6225.54,3.09,329.06,-0.18,6547.51,3574.61
abb3be,DAL107,United States,1723570180,-72.6,40.98,4389.12,190.18,251.71,-8.13,4533.9,3574.61
3c666c,DLH77C,Germany,1723570180,8.56,50.04,6225.54,7.72,25.31,-0.18,6547.51,1000.0
a5f808,LXJ484,United States,1723570180,-110.12,38.25,13716.0,230.35,246.3,0.33,14394.18,3574.61
3c666b,DLH612,Germany,1723570180,17.6,47.43,10073.64,242.64,114.55,0.0,10568.94,7641.0
511170,MBU6512,Estonia,1723570180,8.99,44.5,11277.6,224.99,191.21,0.0,11871.96,6654.0
a46e8d,HAL15,United States,1723570180,-118.43,33.37,7421.88,215.09,231.9,5.53,7879.08,3574.61
a127a0,N1737A,United States,1723570180,-98.32,29.94,1615.44,50.0,36.63,1.95,1760.22,3574.61
3d23b9,DELTX,Germany,1723570180,9.8,53.99,609.6,41.52,123.89,-0.98,678.18,3574.61
48cb15,TVP7443,Poland,1723570180,21.04,51.67,2827.02,137.62,11.65,-4.23,2979.42,6477.0
a127a4,N1737E,United States,1723570180,-120.32,38.55,3147.06,88.28,216.47,-1.3,3268.98,3574.61
e48d5c,AZU2711,Brazil,1723570180,-48.75,-23.71,6096.0,122.73,235.24,0.33,6416.04,3574.61
3c6676,DLH4WJ,Germany,1723570180,10.03,50.7,4572.0,204.46,229.9,-7.8,4823.46,3516.0
3c6675,DLH16V,Germany,1723570180,-3.42,42.87,10980.42,244.73,66.72,0.0,11445.24,4601.0
ac83d5,EDV4936,United States,1723570180,-79.98,36.04,10058.4,252.29,57.15,-0.33,10591.8,3574.61
a34e9d,DAL2657,United States,1723570180,-103.75,33.66,9448.8,231.81,131.4,0.33,10066.02,3574.61
3442cc,ANE87UJ,Spain,1723570180,3.5,39.58,3048.0,143.77,46.89,0.0,3238.5,3574.61
a963f7,FFT32,United States,1723570180,-77.95,35.4,11582.4,253.22,178.25,-0.33,12192.0,7432.0
ac101f,SWA1142,United States,1723570180,-122.75,44.2,8001.0,214.01,4.0,-10.73,8275.32,3574.61
80164c,IGO1464,India,1723570180,55.32,25.28,434.34,114.08,301.54,5.85,320.04,3574.61
471efa,WZZ38RM,Hungary,1723570180,17.13,42.32,8587.74,221.69,204.54,-15.28,9105.9,5547.0
47b217,NBT001,Norway,1723570160,11.11,60.19,6225.54,0.0,194.06,-0.18,6547.51,3574.61
a3a538,FFT2143,United States,1723570180,-85.7,39.09,9265.92,171.41,348.93,-4.88,9723.12,5757.0
acdffd,N929E,United States,1723569890,-96.94,35.39,647.7,45.33,170.86,-0.33,685.8,3574.61
a8f682,AVL224,United States,1723570180,-77.64,39.25,792.48,55.3,134.25,-0.65,822.96,3574.61
801659,AIC983,India,1723570180,56.34,24.88,6096.0,199.66,301.19,-0.33,6492.24,3574.61
471efe,WMT691,Hungary,1723570180,13.8,44.68,10668.0,251.45,103.13,0.0,11231.88,417.0
60111c,AVJ959,Kyrgyzstan,1723568070,50.02,51.64,10980.42,221.95,294.37,0.33,11026.14,3574.61
471eff,WZZ7WE,Hungary,1723570180,15.89,54.7,9220.2,230.01,310.1,4.88,9624.06,6571.0
471efd,WZZ50CX,Hungary,1723570180,18.56,54.49,3017.52,144.4,325.74,13.33,3162.3,3574.61
801663,IGO6506,India,1723570180,76.28,28.0,11887.2,236.08,45.09,-0.33,12771.12,3574.61
801661,IGO6744,India,1723570180,78.22,14.22,7993.38,177.65,205.38,-1.63,8458.2,3574.61
ace6ef,N930PA,United States,1723570180,-118.0,33.86,3497.58,72.72,152.17,0.0,3672.84,3574.61
e80274,LPE2118,Chile,1723570180,-77.04,-12.41,4640.58,158.06,333.94,-16.91,4991.1,3574.61
a3b85b,MVK35,United States,1723569880,-94.01,44.36,777.24,47.51,123.52,0.0,815.34,3574.61
a4be1c,N4042A,United States,1723570180,-121.72,37.46,1463.04,63.5,333.02,-2.6,1470.66,3574.61
44029f,AUA410,Austria,1723570180,2.76,49.07,3733.8,197.89,103.53,12.68,3939.54,1000.0
abfc71,SWA2107,United States,1723570180,-85.9,41.84,7993.38,244.74,77.25,6.83,8321.04,3574.61
adecb6,DAL2171,United States,1723570180,-93.23,44.89,6225.54,5.92,205.31,-0.18,6547.51,3574.61
a2cbde,N28CK,United States,1723570180,-75.21,38.97,2385.06,147.5,68.09,0.0,2446.02,2470.0
a4ab11,N40JA,United States,1723570180,-74.22,40.14,358.14,54.8,170.27,-1.63,350.52,1200.0
adffe4,BULLY33,United States,1723570180,-100.98,29.75,5036.82,151.16,116.04,-28.61,5440.68,3574.61
ae6318,STNG191,United States,1723570110,-88.16,32.55,2979.42,156.4,253.17,-0.65,3177.54,3574.61
ace6e2,AAL2988,United States,1723570180,-82.98,43.0,10492.74,227.26,266.63,-4.88,10805.16,3452.0
a40be2,KFB007,United States,1723570060,-123.19,49.19,6225.54,25.21,101.25,-0.18,6547.51,3574.61
a9b3e7,N724RH,United States,1723570180,-81.37,28.9,243.84,45.62,172.87,0.65,220.98,3574.61
a3556f,JBU2036,United States,1723570180,-80.98,42.24,8968.74,234.14,91.38,5.2,9258.3,3574.61
a9c6fa,N729WL,United States,1723570180,-79.08,43.52,4145.28,175.05,198.86,15.93,4267.2,6343.0
ace6df,NKS712,United States,1723570180,-74.15,40.72,114.3,68.1,205.98,-2.93,114.3,1631.0
3442c2,ANE8209,Spain,1723570180,2.71,39.46,5494.02,109.75,273.22,1.95,5806.44,3574.61
ad4f86,JSX400,United States,1723570180,-118.26,34.14,1767.84,117.11,265.72,2.6,1836.42,3574.61
abf025,SWA1333,United States,1723570180,-97.37,35.39,10363.2,234.36,260.27,0.0,11049.0,3574.61
ae13b6,GOAT55,United States,1723570170,-98.04,28.87,5661.66,101.26,174.75,0.98,6027.42,3574.61
a3b86c,DAL2632,United States,1723570180,-86.4,35.73,9448.8,253.45,150.31,-0.33,10027.92,3574.61
ae630a,HAWK210,United States,1723570180,-97.94,27.59,0.0,138.03,51.51,-0.98,960.12,5360.0
a4754d,N387AB,United States,1723569970,-123.2,44.9,182.88,46.3,180.64,-2.28,205.74,3574.61
a88072,NKS1251,United States,1723570180,-101.59,32.44,11277.6,225.78,120.54,0.0,12016.74,3574.61
a94b51,UAL1278,United States,1723570180,-117.49,33.57,6675.12,246.42,106.62,6.83,7063.74,3574.61
3455da,VOE21FJ,Spain,1723570180,1.73,48.3,3878.58,190.9,22.83,-9.43,4076.7,1000.0
adda1e,AAL1552,United States,1723570170,-102.23,36.6,10668.0,226.05,138.88,0.0,11346.18,3574.61
a902ba,AHF8VA,United States,1723570130,-69.9,43.19,274.32,57.06,154.36,-0.33,259.08,3574.61
abad94,SWA1953,United States,1723570180,-97.43,33.09,10972.8,251.88,313.01,0.33,11681.46,3574.61
aae1e9,N800AM,United States,1723570180,-86.24,41.56,10972.8,168.28,274.73,0.0,11407.14,7124.0
a4b294,RPA4765,United States,1723570180,-75.35,38.27,8839.2,241.14,27.44,0.0,9159.24,1307.0
ac21da,N881DC,United States,1723570180,-73.11,43.42,1965.96,75.65,324.69,-0.33,2004.06,3574.61
a02a0d,N11CA,United States,1723570160,-84.31,33.87,297.18,37.64,21.66,-4.23,327.66,3574.61
3cc8c8,JEI525,Germany,1723570180,4.26,45.66,9304.02,216.46,163.29,-8.45,9776.46,214.0
3c65a3,DLH762,Germany,1723570180,74.95,30.99,12496.8,254.39,136.72,0.33,13395.96,3574.61
a2e703,N28627,United States,1723570180,-90.06,42.8,998.22,58.97,51.73,0.0,1036.32,3574.61
a88bde,NOAA65,United States,1723570180,-85.69,36.35,7315.2,123.81,338.55,0.0,7749.54,3574.61
adda24,AAL866,United States,1723570180,-93.67,40.95,9151.62,223.99,249.57,0.33,9669.78,3574.61
a96577,DAL383,United States,1723570180,-113.04,39.36,11269.98,261.92,69.54,-0.65,11826.24,3574.61
adda23,DAL2930,United States,1723570180,-88.9,44.49,3467.1,195.37,295.42,11.7,3611.88,3574.61
abc78c,SFY113,United States,1723570140,-80.3,27.88,1958.34,51.67,102.65,0.65,2026.92,3574.61
e80219,ARE4248,Chile,1723569980,-75.28,4.03,6987.54,236.85,233.48,6.5,6850.38,3574.61
488e48,SPDTI,Poland,1723570180,16.67,51.24,403.86,62.09,291.89,0.0,449.58,7000.0
4b187d,SWR22D,Switzerland,1723570180,-71.3,42.2,11308.08,227.08,207.09,-4.88,11628.12,1400.0
4845c0,HNL25D,Kingdom of the Netherlands,1723570180,4.8,53.34,655.32,75.02,27.8,-0.33,685.8,4325.0
e80214,LAN630,Chile,1723570180,-46.69,-23.36,2324.1,125.55,192.78,-5.2,2476.5,3574.61
4bb5d6,MNB9403,Turkey,1723570180,28.52,40.91,2750.82,142.5,180.41,-0.33,2933.7,3574.61
ae277a,LS38,United States,1723570180,-117.32,32.63,-7.62,1.54,270.0,-0.65,-7.62,3574.61
ade106,N9936V,United States,1723570180,-121.49,43.69,2286.0,41.67,208.78,-0.33,2316.48,3574.61
ae0116,TEAL29,United States,1723570080,-89.0,30.18,883.92,99.84,41.66,0.33,952.5,3574.61
e8020b,LPE2210,Chile,1723570180,-77.21,-11.86,723.9,104.14,119.6,-2.6,792.48,3574.61
3c65ab,DLH6AA,Germany,1723570180,-4.62,57.43,11582.4,251.36,301.18,0.33,11811.0,6656.0
ab649a,DAL97,United States,1723570180,-76.54,47.94,10363.2,248.49,215.14,0.0,10622.28,3574.61
3455d7,VOE54XQ,Spain,1723570180,11.92,40.81,11887.2,234.09,167.95,0.0,12573.0,7433.0
3455d8,VOE9EK,Spain,1723570180,0.05,45.66,11117.58,222.67,133.88,2.93,11582.4,2375.0
4b1885,SWR18P,Switzerland,1723570180,-0.53,51.34,10972.8,240.0,295.52,0.0,11384.28,3030.0
3455d9,VOE7UC,Spain,1723570180,22.26,38.21,10988.04,231.4,307.05,-0.33,11658.6,2017.0
e8020d,LAN711,Chile,1723570180,-12.13,38.58,12192.0,235.95,256.51,0.0,12946.38,2627.0
a6eb4d,LKF45,United States,1723570180,-94.67,43.5,13716.0,190.34,277.3,-0.33,14325.6,3574.61
3c65c3,DLH359,Germany,1723570180,8.71,50.18,3352.8,169.92,249.81,0.0,3550.92,1000.0
3c65c2,DLH7JV,Germany,1723570180,14.82,47.71,11590.02,217.89,321.61,0.0,12153.9,5437.0
a5cb96,N4725G,United States,1723570180,-82.32,28.09,609.6,48.29,231.05,-4.55,640.08,3574.61
e8020e,LPE2244,Chile,1723569900,-76.44,-8.97,9159.24,246.14,208.87,0.33,9799.32,3574.61
a29723,N266VA,United States,1723570180,-70.56,43.25,914.4,38.67,356.19,4.23,914.4,3574.61
a83e86,JBU478,United States,1723570180,-81.44,42.18,10058.4,248.01,88.93,0.0,10378.44,2042.0
a0f4a2,DAL117,United States,1723570180,-83.1,35.71,10668.0,256.44,204.66,0.33,11308.08,2470.0
4b1882,SWR52,Switzerland,1723570180,0.79,50.93,11582.4,245.48,296.78,0.33,12024.36,3022.0
a9b558,N7244M,United States,1723570180,-81.16,35.87,3444.24,93.21,62.02,0.0,3611.88,3574.61
c02259,CFNAE,Canada,1723570180,-114.21,54.44,5791.2,115.24,172.3,-0.65,5928.36,3574.61
ae74d8,SALTY01,United States,1723570180,10.9,49.31,792.48,53.65,24.35,0.33,868.68,3574.61
a6f23d,DAL357,United States,1723570180,-111.59,41.62,10355.58,236.66,309.89,0.0,10881.36,3574.61
ad8a3c,N97136,United States,1723570180,-76.96,40.23,426.72,71.52,91.24,-3.25,434.34,3574.61
